PRACTICE_CODE,INDICATOR_GROUP_CODE,REGISTER,PATIENT_LIST_TYPE,PATIENT_LIST_SIZE
A81018,HYP,1860,TOTAL,10166
A81018,LD,83,TOTAL,10166
A81018,MH,158,TOTAL,10166
A81018,OB,1093,18OV,8084
A81018,OST,15,50OV,4252
A81018,PAD,104,TOTAL,10166
A81018,PC,96,TOTAL,10166
A81018,RA,67,16OV,8305
A81018,STIA,271,TOTAL,10166
A81019,AF,144,TOTAL,9776
A81019,AST,603,TOTAL,9776
A81019,CAN,158,TOTAL,9776
A81019,CHD,402,TOTAL,9776
A81019,CKD,162,18OV,7366
A81019,COPD,341,TOTAL,9776
A81019,CVDPP,49,30_74,5169
A81019,DEM,63,TOTAL,9776
A81019,DEP,382,18OV,7366
A81019,DM,596,17OV,7527
A81019,EP,80,18OV,7366
A81019,HF,79,TOTAL,9776
A81019,HYP,1318,TOTAL,9776
A81019,LD,62,TOTAL,9776
A81019,MH,87,TOTAL,9776
A81019,OB,1139,18OV,7366
A81019,OST,8,50OV,3474
A81019,PAD,74,TOTAL,9776
A81019,PC,66,TOTAL,9776
A81019,RA,56,16OV,7630
A81019,STIA,169,TOTAL,9776
A81020,AF,187,TOTAL,8030
A81020,AST,498,TOTAL,8030
A81020,CAN,245,TOTAL,8030
A81020,CHD,376,TOTAL,8030
A81020,CKD,216,18OV,6371
A81020,COPD,203,TOTAL,8030
A81020,CVDPP,50,30_74,4485
A81020,DEM,91,TOTAL,8030
A81020,DEP,368,18OV,6371
A81020,DM,469,17OV,6462
A81020,EP,66,18OV,6371
A81020,HF,62,TOTAL,8030
A81020,HYP,1399,TOTAL,8030
A81020,LD,44,TOTAL,8030
A81020,MH,74,TOTAL,8030
A81020,OB,803,18OV,6371
A81020,OST,7,50OV,3393
A81020,PAD,77,TOTAL,8030
A81020,PC,49,TOTAL,8030
A81020,RA,42,16OV,6533
A81020,STIA,196,TOTAL,8030
A81021,AF,296,TOTAL,13586
A81021,AST,777,TOTAL,13586
A81021,CAN,482,TOTAL,13586
A81021,CHD,581,TOTAL,13586
A81021,CKD,239,18OV,10697
A81021,COPD,387,TOTAL,13586
A81021,CVDPP,55,30_74,7526
A81021,DEM,111,TOTAL,13586
A81021,DEP,1367,18OV,10697
A81021,DM,790,17OV,10845
A81021,EP,104,18OV,10697
A81021,HF,160,TOTAL,13586
A81021,HYP,2098,TOTAL,13586
