PRACTICE_CODE,INDICATOR_GROUP_CODE,REGISTER,PATIENT_LIST_TYPE,PATIENT_LIST_SIZE
A81023,RA,31,16OV,6201
A81023,STIA,123,TOTAL,7762
A81025,AF,109,TOTAL,4053
A81025,AST,260,TOTAL,4053
A81025,CAN,154,TOTAL,4053
A81025,CHD,211,TOTAL,4053
A81025,CKD,119,18OV,3246
A81025,COPD,121,TOTAL,4053
A81025,CVDPP,25,30_74,2300
A81025,DEM,39,TOTAL,4053
A81025,DEP,322,18OV,3246
A81025,DM,245,17OV,3269
A81025,EP,41,18OV,3246
A81025,HF,59,TOTAL,4053
A81025,HYP,594,TOTAL,4053
A81025,LD,26,TOTAL,4053
A81025,MH,47,TOTAL,4053
A81025,OB,402,18OV,3246
A81025,OST,5,50OV,1664
A81025,PAD,39,TOTAL,4053
A81025,PC,14,TOTAL,4053
A81025,RA,37,16OV,3320
A81025,STIA,104,TOTAL,4053
A81026,AF,353,TOTAL,19456
A81026,AST,1044,TOTAL,19456
A81026,CAN,309,TOTAL,19456
A81026,CHD,748,TOTAL,19456
A81026,CKD,486,18OV,14867
A81026,COPD,652,TOTAL,19456
A81026,CVDPP,114,30_74,10527
A81026,DEM,173,TOTAL,19456
A81026,DEP,1290,18OV,14867
A81026,DM,1170,17OV,15071
A81026,EP,166,18OV,14867
A81026,HF,146,TOTAL,19456
A81026,HYP,2459,TOTAL,19456
A81026,LD,116,TOTAL,19456
A81026,MH,179,TOTAL,19456
A81026,OB,1456,18OV,14867
A81026,OST,20,50OV,6693
A81026,PAD,154,TOTAL,19456
A81026,PC,171,TOTAL,19456
A81026,RA,110,16OV,15267
A81026,STIA,415,TOTAL,19456
A81027,AF,420,TOTAL,14960
A81027,AST,840,TOTAL,14960
A81027,CAN,574,TOTAL,14960
A81027,CHD,541,TOTAL,14960
A81027,CKD,486,18OV,12050
A81027,COPD,190,TOTAL,14960
A81027,CVDPP,72,30_74,8942
A81027,DEM,147,TOTAL,14960
A81027,DEP,1357,18OV,12050
A81027,DM,661,17OV,12189
